Days_to_Return,Discount_Applied,Is_Returned,Order_Date,Order_ID,Order_Quantity,Payment_Method,Price,Product_Category,Product_ID,Product_Price,Return_Date,Return_Reason,Return_Status,Shipping_Method,Supplier,User_Age,User_Gender,User_ID,User_Location,Category_Return_Rate,Supplier_Return_Rate,Location_Return_Rate
,47.47,0,2023-07-03,ORD00000020,1.0,Credit Card,,Clothing,PROD00000020,6.14,,,Not Returned,Next-Day,,31.0,Female,USER00000020,City70,52.423788105947025,,46.15384615384615
-418.0,24.58,1,2024-02-28,ORD00000021,2.0,Debit Card,,Books,PROD00000021,85.69,2023-01-06,Changed mind,Returned,Standard,,30.0,Female,USER00000021,City26,50.66144047035767,,53.04347826086957
-304.0,27.94,1,2024-07-13,ORD00000022,5.0,Gift Card,,Books,PROD00000022,227.2,2023-09-13,Wrong item,Returned,Next-Day,,65.0,Female,USER00000022,City90,50.66144047035767,,50.0
-159.0,43.06,1,2024-07-01,ORD00000023,2.0,Gift Card,,Electronics,PROD00000023,57.14,2024-01-24,Wrong item,Returned,Standard,,41.0,Female,USER00000023,City28,50.956696878147035,,52.17391304347826
,2.49,0,2024-07-27,ORD00000024,2.0,Gift Card,,Toys,PROD00000024,274.29,,,Not Returned,Express,,18.0,Male,USER00000024,City84,49.53703703703704,,55.55555555555556
,18.68,0,2024-11-22,ORD00000025,5.0,Gift Card,,Electronics,PROD00000025,371.15,,,Not Returned,Standard,,58.0,Female,USER00000025,City83,50.956696878147035,,46.601941747572816
,9.85,0,2023-03-05,ORD00000026,5.0,Debit Card,,Toys,PROD00000026,232.97,,,Not Returned,Express,,21.0,Female,USER00000026,City98,49.53703703703704,,47.66355140186916
,11.96,0,2024-05-26,ORD00000027,1.0,PayPal,,Home,PROD00000027,455.82,,,Not Returned,Express,,52.0,Female,USER00000027,City10,49.01477832512315,,59.80392156862745
113.0,18.42,1,2024-05-15,ORD00000028,5.0,Credit Card,,Toys,PROD00000028,106.6,2024-09-05,Defective,Returned,Standard,,53.0,Male,USER00000028,City69,49.53703703703704,,44.086021505376344
,18.05,0,2024-04-06,ORD00000029,5.0,Gift Card,,Books,PROD00000029,317.9,,,Not Returned,Standard,,59.0,Female,USER00000029,City32,50.66144047035767,,39.81481481481482
,38.29,0,2023-05-02,ORD00000030,3.0,Credit Card,,Toys,PROD00000030,413.34,,,Not Returned,Standard,,49.0,Male,USER00000030,City55,49.53703703703704,,48.888888888888886
,20.03,0,2023-12-09,ORD00000031,5.0,Credit Card,,Electronics,PROD00000031,481.73,,,Not Returned,Next-Day,,28.0,Female,USER00000031,City79,50.956696878147035,,52.88461538461539
,35.45,0,2024-06-30,ORD00000032,4.0,Debit Card,,Toys,PROD00000032,308.89,,,Not Returned,Express,,68.0,Female,USER00000032,City47,49.53703703703704,,54.0
-169.0,25.37,1,2024-02-03,ORD00000033,4.0,Debit Card,,Home,PROD00000033,335.28,2023-08-18,Wrong item,Returned,Next-Day,,18.0,Male,USER00000033,City20,49.01477832512315,,53.06122448979592
,8.51,0,2023-09-07,ORD00000034,3.0,PayPal,,Toys,PROD00000034,290.49,,,Not Returned,Next-Day,,34.0,Male,USER00000034,City42,49.53703703703704,,51.02040816326531
,41.02,0,2024-07-23,ORD00000035,2.0,PayPal,,Clothing,PROD00000035,331.26,,,Not Returned,Standard,,46.0,Female,USER00000035,City95,52.423788105947025,,55.42168674698795
-131.0,23.76,1,2024-01-07,ORD00000036,5.0,Credit Card,,Electronics,PROD00000036,115.82,2023-08-29,Defective,Returned,Express,,54.0,Female,USER00000036,City43,50.956696878147035,,55.26315789473685
454.0,23.63,1,2023-02-11,ORD00000037,1.0,Gift Card,,Clothing,PROD00000037,246.15,2024-05-10,Wrong item,Returned,Standard,,31.0,Female,USER00000037,City62,52.423788105947025,,52.72727272727272
,14.6,0,2023-02-17,ORD00000038,2.0,Credit Card,,Toys,PROD00000038,43.82,,,Not Returned,Next-Day,,28.0,Female,USER00000038,City11,49.53703703703704,,49.494949494949495
-8.0,30.88,1,2024-10-27,ORD00000039,4.0,PayPal,,Toys,PROD00000039,266.34,2024-10-19,Wrong item,Returned,Standard,,44.0,Female,USER00000039,City60,49.53703703703704,,46.0
,11.58,0,2023-03-21,ORD00000040,1.0,PayPal,,Toys,PROD00000040,351.52,,,Not Returned,Next-Day,,46.0,Male,USER00000040,City42,49.53703703703704,,51.02040816326531
-353.0,43.44,1,2024-01-03,ORD00000041,4.0,PayPal,,Books,PROD00000041,334.27,2023-01-15,Changed mind,Returned,Express,,69.0,Male,USER00000041,City81,50.66144047035767,,50.0
,12.93,0,2024-02-10,ORD00000042,2.0,Gift Card,,Books,PROD00000042,240.65,,,Not Returned,Standard,,33.0,Female,USER00000042,City61,50.66144047035767,,53.77358490566038
13.0,42.07,1,2024-05-23,ORD00000043,3.0,Credit Card,,Clothing,PROD00000043,105.7,2024-06-05,Wrong item,Returned,Next-Day,,44.0,Male,USER00000043,City41,52.423788105947025,,41.57303370786517
,12.68,0,2024-10-10,ORD00000044,3.0,Gift Card,,Home,PROD00000044,188.76,,,Not Returned,Standard,,66.0,Female,USER00000044,City12,49.01477832512315,,54.08163265306123
-283.0,32.7,1,2023-11-15,ORD00000045,2.0,Gift Card,,Toys,PROD00000045,294.18,2023-02-05,Changed mind,Returned,Next-Day,,69.0,Male,USER00000045,City89,49.53703703703704,,50.505050505050505
292.0,10.96,1,2023-05-22,ORD00000046,2.0,Debit Card,,Home,PROD00000046,97.31,2024-03-09,Changed mind,Returned,Next-Day,,53.0,Female,USER00000046,City49,49.01477832512315,,46.666666666666664
-215.0,19.05,1,2024-10-23,ORD00000047,2.0,Credit Card,,Home,PROD00000047,335.96,2024-03-22,Wrong item,Returned,Standard,,63.0,Male,USER00000047,City5,49.01477832512315,,52.4390243902439
-155.0,10.99,1,2024-04-19,ORD00000048,4.0,Credit Card,,Electronics,PROD00000048,344.31,2023-11-16,Not as described,Returned,Express,,36.0,Male,USER00000048,City68,50.956696878147035,,62.10526315789474
,16.9,0,2024-03-14,ORD00000049,4.0,Credit Card,,Clothing,PROD00000049,297.62,,,Not Returned,Express,,52.0,Male,USER00000049,City53,52.423788105947025,,45.16129032258064
403.0,6.53,1,2023-06-14,ORD00000050,1.0,Credit Card,,Books,PROD00000050,23.6,2024-07-21,Defective,Returned,Next-Day,,37.0,Female,USER00000050,City12,50.66144047035767,,54.08163265306123
,43.34,0,2024-03-27,ORD00000051,3.0,Debit Card,,Toys,PROD00000051,495.34,,,Not Returned,Express,,46.0,Female,USER00000051,City50,49.53703703703704,,53.06122448979592
,38.09,0,2024-02-22,ORD00000052,2.0,Credit Card,,Toys,PROD00000052,49.47,,,Not Returned,Express,,53.0,Female,USER00000052,City46,49.53703703703704,,41.584158415841586
-296.0,3.01,1,2024-03-12,ORD00000053,3.0,Debit Card,,Clothing,PROD00000053,359.9,2023-05-21,Defective,Returned,Standard,,55.0,Female,USER00000053,City23,52.423788105947025,,54.166666666666664
,30.81,0,2023-02-12,ORD00000054,2.0,Debit Card,,Home,PROD00000054,283.79,,,Not Returned,Next-Day,,42.0,Male,USER00000054,City76,49.01477832512315,,42.2680412371134
-19.0,22.83,1,2023-04-30,ORD00000055,4.0,Gift Card,,Home,PROD00000055,352.93,2023-04-11,Changed mind,Returned,Express,,34.0,Male,USER00000055,City31,49.01477832512315,,51.42857142857142
,17.72,0,2024-02-04,ORD00000056,4.0,Debit Card,,Electronics,PROD00000056,353.51,,,Not Returned,Standard,,39.0,Female,USER00000056,City24,50.956696878147035,,55.55555555555556
-378.0,30.59,1,2024-09-22,ORD00000057,2.0,PayPal,,Books,PROD00000057,301.68,2023-09-10,Changed mind,Returned,Standard,,47.0,Male,USER00000057,City16,50.66144047035767,,44.086021505376344
,12.83,0,2024-05-06,ORD00000058,5.0,PayPal,,Home,PROD00000058,129.94,,,Not Returned,Next-Day,,65.0,Female,USER00000058,City37,49.01477832512315,,44.761904761904766
,16.08,0,2023-02-13,ORD00000059,2.0,Credit Card,,Electronics,PROD00000059,16.37,,,Not Returned,Next-Day,,32.0,Male,USER00000059,City65,50.956696878147035,,50.0
-245.0,12.23,1,2024-10-26,ORD00000060,4.0,Gift Card,,Books,PROD00000060,389.83,2024-02-24,Wrong item,Returned,Express,,40.0,Female,USER00000060,City44,50.66144047035767,,56.310679611650485
,40.95,0,2024-11-06,ORD00000061,4.0,PayPal,,Home,PROD00000061,344.6,,,Not Returned,Next-Day,,28.0,Female,USER00000061,City80,49.01477832512315,,48.113207547169814
,16.1,0,2023-12-12,ORD00000062,5.0,Gift Card,,Clothing,PROD00000062,195.24,,,Not Returned,Express,,53.0,Female,USER00000062,City3,52.423788105947025,,50.427350427350426
,12.39,0,2023-11-21,ORD00000063,1.0,Debit Card,,Clothing,PROD00000063,428.0,,,Not Returned,Standard,,50.0,Female,USER00000063,City81,52.423788105947025,,50.0
-477.0,13.22,1,2024-07-06,ORD00000064,3.0,Debit Card,,Books,PROD00000064,429.41,2023-03-17,Wrong item,Returned,Next-Day,,53.0,Male,USER00000064,City44,50.66144047035767,,56.310679611650485
111.0,2.34,1,2023-06-03,ORD00000065,2.0,Debit Card,,Toys,PROD00000065,280.61,2023-09-22,Defective,Returned,Express,,32.0,Male,USER00000065,City92,49.53703703703704,,43.51851851851852
,19.05,0,2024-09-08,ORD00000066,2.0,Debit Card,,Books,PROD00000066,142.71,,,Not Returned,Next-Day,,60.0,Female,USER00000066,City75,50.66144047035767,,54.94505494505495
-161.0,27.11,1,2023-11-07,ORD00000067,3.0,Gift Card,,Toys,PROD00000067,227.79,2023-05-30,Not as described,Returned,Next-Day,,70.0,Female,USER00000067,City31,49.53703703703704,,51.42857142857142
216.0,12.27,1,2023-11-13,ORD00000068,3.0,Credit Card,,Electronics,PROD00000068,394.08,2024-06-16,Wrong item,Returned,Next-Day,,62.0,Male,USER00000068,City28,50.956696878147035,,52.17391304347826
,21.32,0,2024-06-11,ORD00000069,2.0,Debit Card,,Clothing,PROD00000069,266.88,,,Not Returned,Next-Day,,65.0,Female,USER00000069,City3,52.423788105947025,,50.427350427350426
-338.0,32.02,1,2024-05-24,ORD00000070,4.0,Gift Card,,Toys,PROD00000070,87.17,2023-06-21,Defective,Returned,Express,,46.0,Female,USER00000070,City50,49.53703703703704,,53.06122448979592
,33.19,0,2024-08-21,ORD00000071,4.0,PayPal,,Toys,PROD00000071,312.45,,,Not Returned,Next-Day,,30.0,Female,USER00000071,City100,49.53703703703704,,48.113207547169814
,22.71,0,2023-03-30,ORD00000072,3.0,Debit Card,,Toys,PROD00000072,481.58,,,Not Returned,Next-Day,,39.0,Male,USER00000072,City97,49.53703703703704,,50.0
,17.53,0,2023-07-10,ORD00000073,5.0,Credit Card,,Clothing,PROD00000073,283.14,,,Not Returned,Standard,,62.0,Male,USER00000073,City43,52.423788105947025,,55.26315789473685
,46.26,0,2024-02-21,ORD00000074,5.0,Gift Card,,Toys,PROD00000074,84.9,,,Not Returned,Next-Day,,67.0,Female,USER00000074,City43,49.53703703703704,,55.26315789473685
256.0,24.31,1,2023-05-08,ORD00000075,5.0,Debit Card,,Electronics,PROD00000075,332.39,2024-01-19,Not as described,Returned,Next-Day,,36.0,Male,USER00000075,City53,50.956696878147035,,45.16129032258064
,13.87,0,2023-05-30,ORD00000076,5.0,PayPal,,Electronics,PROD00000076,139.6,,,Not Returned,Standard,,34.0,Male,USER00000076,City24,50.956696878147035,,55.55555555555556
287.0,36.01,1,2023-04-09,ORD00000077,2.0,PayPal,,Books,PROD00000077,185.34,2024-01-21,Not as described,Returned,Standard,,31.0,Female,USER00000077,City34,50.66144047035767,,49.48453608247423
461.0,47.4,1,2023-05-07,ORD00000078,2.0,Debit Card,,Toys,PROD00000078,64.29,2024-08-10,Not as described,Returned,Express,,39.0,Male,USER00000078,City57,49.53703703703704,,48.54368932038835
,45.83,0,2024-08-07,ORD00000079,5.0,Debit Card,,Electronics,PROD00000079,231.65,,,Not Returned,Standard,,58.0,Male,USER00000079,City14,50.956696878147035,,54.08163265306123
,27.66,0,2023-04-02,ORD00000080,1.0,Debit Card,,Electronics,PROD00000080,44.48,,,Not Returned,Express,,50.0,Male,USER00000080,City8,50.956696878147035,,49.45054945054945
-190.0,44.36,1,2024-03-21,ORD00000081,5.0,Gift Card,,Clothing,PROD00000081,429.47,2023-09-13,Defective,Returned,Standard,,39.0,Male,USER00000081,City10,52.423788105947025,,59.80392156862745
167.0,32.87,1,2023-03-17,ORD00000082,5.0,Gift Card,,Electronics,PROD00000082,496.22,2023-08-31,Changed mind,Returned,Next-Day,,67.0,Male,USER00000082,City36,50.956696878147035,,45.08196721311475
503.0,35.14,1,2023-06-08,ORD00000083,1.0,Debit Card,,Electronics,PROD00000083,52.19,2024-10-23,Not as described,Returned,Standard,,21.0,Female,USER00000083,City100,50.956696878147035,,48.113207547169814
,46.46,0,2024-11-18,ORD00000084,3.0,PayPal,,Books,PROD00000084,427.29,,,Not Returned,Standard,,51.0,Male,USER00000084,City28,50.66144047035767,,52.17391304347826
,38.31,0,2023-04-13,ORD00000085,3.0,Credit Card,,Home,PROD00000085,283.68,,,Not Returned,Next-Day,,49.0,Male,USER00000085,City95,49.01477832512315,,55.42168674698795
,34.49,0,2024-03-06,ORD00000086,2.0,Credit Card,,Home,PROD00000086,255.78,,,Not Returned,Next-Day,,63.0,Female,USER00000086,City52,49.01477832512315,,44.79166666666667
,9.06,0,2023-08-03,ORD00000087,4.0,PayPal,,Books,PROD00000087,478.47,,,Not Returned,Standard,,22.0,Female,USER00000087,City71,50.66144047035767,,61.76470588235294
-76.0,49.94,1,2023-12-12,ORD00000088,2.0,Credit Card,,Electronics,PROD00000088,78.94,2023-09-27,Changed mind,Returned,Express,,23.0,Female,USER00000088,City1,50.956696878147035,,42.98245614035088
,20.8,0,2023-07-31,ORD00000089,3.0,PayPal,,Home,PROD00000089,481.66,,,Not Returned,Next-Day,,28.0,Male,USER00000089,City4,49.01477832512315,,52.57731958762887
,26.81,0,2024-10-10,ORD00000090,3.0,PayPal,,Toys,PROD00000090,193.16,,,Not Returned,Express,,56.0,Male,USER00000090,City11,49.53703703703704,,49.494949494949495
-136.0,30.21,1,2024-12-25,ORD00000091,1.0,PayPal,,Toys,PROD00000091,99.21,2024-08-11,Not as described,Returned,Next-Day,,29.0,Female,USER00000091,City17,49.53703703703704,,44.827586206896555
148.0,16.01,1,2023-10-02,ORD00000092,4.0,Gift Card,,Home,PROD00000092,394.71,2024-02-27,Changed mind,Returned,Next-Day,,66.0,Female,USER00000092,City25,49.01477832512315,,38.775510204081634
338.0,26.62,1,2023-07-29,ORD00000093,2.0,Credit Card,,Home,PROD00000093,230.9,2024-07-01,Defective,Returned,Next-Day,,69.0,Male,USER00000093,City10,49.01477832512315,,59.80392156862745
,32.02,0,2024-04-03,ORD00000094,1.0,Gift Card,,Clothing,PROD00000094,296.56,,,Not Returned,Standard,,39.0,Female,USER00000094,City97,52.423788105947025,,50.0
,17.9,0,2023-02-27,ORD00000095,1.0,PayPal,,Books,PROD00000095,490.55,,,Not Returned,Standard,,62.0,Male,USER00000095,City10,50.66144047035767,,59.80392156862745
143.0,10.15,1,2023-06-18,ORD00000096,4.0,Gift Card,,Toys,PROD00000096,496.31,2023-11-08,Defective,Returned,Next-Day,,53.0,Male,USER00000096,City88,49.53703703703704,,53.92156862745098
-237.0,28.68,1,2024-12-08,ORD00000097,2.0,Credit Card,,Toys,PROD00000097,104.39,2024-04-15,Defective,Returned,Standard,,58.0,Female,USER00000097,City46,49.53703703703704,,41.584158415841586
,7.11,0,2024-02-21,ORD00000098,5.0,Gift Card,,Clothing,PROD00000098,434.25,,,Not Returned,Express,,18.0,Female,USER00000098,City83,52.423788105947025,,46.601941747572816
389.0,8.9,1,2023-12-07,ORD00000099,1.0,Credit Card,,Books,PROD00000099,46.61,2024-12-30,Wrong item,Returned,Next-Day,,42.0,Male,USER00000099,City12,50.66144047035767,,54.08163265306123
,39.82,0,2023-10-30,ORD00000100,4.0,Credit Card,,Clothing,PROD00000100,284.49,,,Not Returned,Next-Day,,48.0,Female,USER00000100,City59,52.423788105947025,,50.0
111.0,27.73,1,2024-05-01,ORD00000101,5.0,Credit Card,,Books,PROD00000101,169.93,2024-08-20,Wrong item,Returned,Next-Day,,40.0,Male,USER00000101,City40,50.66144047035767,,50.467289719626166
,42.55,0,2023-09-21,ORD00000102,4.0,Debit Card,,Books,PROD00000102,146.37,,,Not Returned,Express,,23.0,Female,USER00000102,City66,50.66144047035767,,54.36893203883495
,28.53,0,2024-09-08,ORD00000103,4.0,Debit Card,,Electronics,PROD00000103,444.43,,,Not Returned,Next-Day,,48.0,Female,USER00000103,City27,50.956696878147035,,50.57471264367817
197.0,3.9,1,2023-04-10,ORD00000104,3.0,PayPal,,Home,PROD00000104,35.16,2023-10-24,Defective,Returned,Next-Day,,48.0,Female,USER00000104,City27,49.01477832512315,,50.57471264367817
,3.37,0,2023-06-12,ORD00000105,4.0,Debit Card,,Home,PROD00000105,287.93,,,Not Returned,Standard,,66.0,Female,USER00000105,City14,49.01477832512315,,54.08163265306123
-152.0,26.3,1,2023-09-03,ORD00000106,2.0,Gift Card,,Books,PROD00000106,448.84,2023-04-04,Changed mind,Returned,Express,,60.0,Male,USER00000106,City20,50.66144047035767,,53.06122448979592
,44.53,0,2023-10-09,ORD00000107,2.0,PayPal,,Toys,PROD00000107,168.68,,,Not Returned,Standard,,48.0,Male,USER00000107,City22,49.53703703703704,,43.103448275862064
,8.36,0,2024-10-17,ORD00000108,3.0,Debit Card,,Books,PROD00000108,466.62,,,Not Returned,Express,,24.0,Male,USER00000108,City83,50.66144047035767,,46.601941747572816
,44.74,0,2024-08-27,ORD00000109,4.0,Credit Card,,Clothing,PROD00000109,51.56,,,Not Returned,Express,,37.0,Male,USER00000109,City95,52.423788105947025,,55.42168674698795
,29.18,0,2024-05-31,ORD00000110,1.0,Gift Card,,Toys,PROD00000110,79.31,,,Not Returned,Next-Day,,37.0,Female,USER00000110,City36,49.53703703703704,,45.08196721311475
-337.0,37.68,1,2024-08-03,ORD00000111,5.0,PayPal,,Home,PROD00000111,315.11,2023-09-01,Defective,Returned,Express,,50.0,Female,USER00000111,City71,49.01477832512315,,61.76470588235294
-402.0,40.28,1,2024-05-12,ORD00000112,2.0,Credit Card,,Clothing,PROD00000112,259.57,2023-04-06,Not as described,Returned,Next-Day,,55.0,Female,USER00000112,City90,52.423788105947025,,50.0
,1.13,0,2024-03-10,ORD00000113,3.0,Debit Card,,Clothing,PROD00000113,137.72,,,Not Returned,Standard,,45.0,Male,USER00000113,City8,52.423788105947025,,49.45054945054945
,19.21,0,2023-01-07,ORD00000114,4.0,Gift Card,,Electronics,PROD00000114,464.67,,,Not Returned,Standard,,54.0,Male,USER00000114,City26,50.956696878147035,,53.04347826086957
-372.0,42.31,1,2024-06-07,ORD00000115,4.0,Credit Card,,Toys,PROD00000115,197.66,2023-06-01,Not as described,Returned,Next-Day,,59.0,Female,USER00000115,City9,49.53703703703704,,54.65116279069767
293.0,22.19,1,2023-09-26,ORD00000116,4.0,PayPal,,Books,PROD00000116,79.9,2024-07-15,Defective,Returned,Express,,42.0,Female,USER00000116,City73,50.66144047035767,,50.0
226.0,49.85,1,2024-02-04,ORD00000117,4.0,Credit Card,,Electronics,PROD00000117,265.23,2024-09-17,Changed mind,Returned,Next-Day,,57.0,Male,USER00000117,City89,50.956696878147035,,50.505050505050505
-156.0,31.58,1,2023-12-04,ORD00000118,2.0,Credit Card,,Books,PROD00000118,91.84,2023-07-01,Not as described,Returned,Next-Day,,56.0,Female,USER00000118,City7,50.66144047035767,,56.99999999999999
,46.77,0,2023-04-13,ORD00000119,2.0,Gift Card,,Clothing,PROD00000119,468.62,,,Not Returned,Next-Day,,31.0,Male,USER00000119,City27,52.423788105947025,,50.57471264367817
66.0,25.44,1,2024-08-08,ORD00000120,5.0,PayPal,,Books,PROD00000120,245.44,2024-10-13,Changed mind,Returned,Standard,,29.0,Female,USER00000120,City34,50.66144047035767,,49.48453608247423
,48.36,0,2023-09-06,ORD00000121,2.0,Gift Card,,Toys,PROD00000121,116.2,,,Not Returned,Next-Day,,37.0,Male,USER00000121,City69,49.53703703703704,,44.086021505376344
,36.32,0,2024-06-12,ORD00000122,3.0,PayPal,,Home,PROD00000122,400.21,,,Not Returned,Standard,,69.0,Female,USER00000122,City20,49.01477832512315,,53.06122448979592
-245.0,43.37,1,2024-07-04,ORD00000123,2.0,Credit Card,,Electronics,PROD00000123,490.8,2023-11-02,Changed mind,Returned,Express,,37.0,Female,USER00000123,City23,50.956696878147035,,54.166666666666664
,22.6,0,2023-03-09,ORD00000124,2.0,PayPal,,Books,PROD00000124,310.14,,,Not Returned,Express,,54.0,Male,USER00000124,City65,50.66144047035767,,50.0
,19.97,0,2024-12-20,ORD00000125,2.0,Gift Card,,Home,PROD00000125,247.46,,,Not Returned,Next-Day,,48.0,Male,USER00000125,City52,49.01477832512315,,44.79166666666667
,7.64,0,2023-01-14,ORD00000126,2.0,Credit Card,,Home,PROD00000126,255.71,,,Not Returned,Standard,,57.0,Male,USER00000126,City76,49.01477832512315,,42.2680412371134
,2.75,0,2024-03-03,ORD00000127,1.0,Credit Card,,Books,PROD00000127,172.02,,,Not Returned,Next-Day,,46.0,Female,USER00000127,City11,50.66144047035767,,49.494949494949495
,35.55,0,2023-12-01,ORD00000128,2.0,Debit Card,,Clothing,PROD00000128,170.05,,,Not Returned,Express,,23.0,Male,USER00000128,City56,52.423788105947025,,45.1219512195122
,15.81,0,2024-04-09,ORD00000129,3.0,Credit Card,,Toys,PROD00000129,314.35,,,Not Returned,Standard,,22.0,Male,USER00000129,City3,49.53703703703704,,50.427350427350426
,18.74,0,2024-02-25,ORD00000130,1.0,Gift Card,,Electronics,PROD00000130,319.34,,,Not Returned,Next-Day,,54.0,Male,USER00000130,City76,50.956696878147035,,42.2680412371134
-227.0,32.59,1,2024-05-24,ORD00000131,2.0,Credit Card,,Books,PROD00000131,219.29,2023-10-10,Changed mind,Returned,Express,,56.0,Male,USER00000131,City6,50.66144047035767,,50.0
566.0,22.43,1,2023-02-15,ORD00000132,1.0,PayPal,,Electronics,PROD00000132,174.94,2024-09-03,Defective,Returned,Next-Day,,62.0,Female,USER00000132,City48,50.956696878147035,,47.87234042553192
,1.55,0,2024-03-04,ORD00000133,2.0,Credit Card,,Home,PROD00000133,85.28,,,Not Returned,Express,,20.0,Female,USER00000133,City70,49.01477832512315,,46.15384615384615
-20.0,1.57,1,2023-01-25,ORD00000134,1.0,Gift Card,,Books,PROD00000134,18.83,2023-01-05,Wrong item,Returned,Standard,,27.0,Male,USER00000134,City26,50.66144047035767,,53.04347826086957
-320.0,8.37,1,2024-05-31,ORD00000135,4.0,Debit Card,,Electronics,PROD00000135,291.09,2023-07-16,Changed mind,Returned,Express,,19.0,Female,USER00000135,City14,50.956696878147035,,54.08163265306123
139.0,10.19,1,2023-01-23,ORD00000136,1.0,Credit Card,,Toys,PROD00000136,386.51,2023-06-11,Wrong item,Returned,Standard,,27.0,Male,USER00000136,City50,49.53703703703704,,53.06122448979592
-186.0,40.21,1,2024-07-17,ORD00000137,4.0,Debit Card,,Electronics,PROD00000137,285.21,2024-01-13,Not as described,Returned,Next-Day,,32.0,Male,USER00000137,City44,50.956696878147035,,56.310679611650485
,20.89,0,2023-08-01,ORD00000138,2.0,Credit Card,,Clothing,PROD00000138,238.63,,,Not Returned,Express,,46.0,Female,USER00000138,City27,52.423788105947025,,50.57471264367817
